addressLine1,lastSalePrice,time_id,location_id,description_id
PO Box 156,0.0,1,128,1
156 Conestoga Way,250000.0,94,129,119
813 W 1st St,0.0,1,130,120
2757 Friendly Ave,0.0,1,15,121
30 W Chicago Ave,0.0,1,23,1
21077 Chirping Sparrow Rd,389000.0,95,131,122
13234 Chaston Dr,0.0,96,132,123
2332 Wayfarer Dr,800000.0,97,133,124
2933 Patishall Ln,233000.0,98,134,125
209 15th Ave W,6900.0,99,135,126
571 E Nelson Ave,0.0,1,136,1
5970 Pinnacle Ln,570000.0,100,137,127
PO Box 1428,0.0,1,138,1
651 N Peace Haven Rd,265000.0,101,74,128
4532 E Circulo Way,950000.0,102,139,129
5044 S 21st Pl,141000.0,103,31,130
216 Elm St,0.0,1,140,131
216 Elm St,0.0,1,322,131
834 N Cherry,0.0,1,141,1
2723 W Garrison Ave,0.0,1,142,132
7 Norfolk St,0.0,1,143,1
5317 Quail Ridge Dr,0.0,1,144,133
5456 Daniel Ray Dr,225000.0,104,145,134
16940 Kingsbridge Blvd,295000.0,105,146,135
12046 Saffron Ct,185000.0,106,147,136
212 Sequoia Dr,0.0,107,148,137
7 N Court Ln,107000.0,108,149,138
452 Reichmuth Ln,165000.0,109,150,139
1900 Yaqui Dr,75600.0,110,151,140
3W Fernwood Dr,109900.0,111,152,141
123 N Seneca Rd,0.0,1,153,142
5430 Riverview Dr,0.0,112,154,143
1830 Passage Ln,147420.0,113,36,144
515 E Tiger Ave,0.0,114,155,145
842 Washington St,449950.0,115,156,146
9260 Woodbury Hwy,2800.0,116,157,147
107 W Lazy Leaf Ln,0.0,1,158,148
501 Countryside Ave,0.0,1,159,149
360 N Aroyo Gran Blvd,0.0,1,160,1
414 Tecumseh Ln,0.0,117,132,150
508 State St,0.0,1,161,151
508 State St,0.0,1,370,151
4508-10 Walnut St,0.0,1,111,152
62 Jackson Sellery B Hall,0.0,1,162,1
67 Shore Dr,218000.0,118,163,153
1610 Sw D Ave,0.0,1,164,1
4827 Blackberry Way,210000.0,119,165,154
2893 W Montecito Dr,216500.0,120,166,155
1308 Nw High View Dr,0.0,121,167,156
105 Pinion Cir,152000.0,122,168,157
25 Richmond Park Dr,198000.0,123,169,158
5006 Clover St,0.0,124,132,159
32 Church St,2230000.0,125,170,160
130 E 31st Ave,430000.0,126,171,161
25630 Hufsmith Cemetery Rd,0.0,127,172,162
219 Sunset Pl,0.0,1,173,163
1205 Nw 190th Pl,226667.0,128,87,164
1133 4th Ave,0.0,1,174,165
441 4th Ave SW,0.0,1,175,166
18 Green St,545000.0,129,176,167
4100 Queen Emmas Dr,2800000.0,130,177,168
120 Se 7th St,92100.0,131,46,169
120 Se 7th St,92100.0,131,178,169
3725 W Whitendale Ave,0.0,1,179,170
9889 W Aviara St,0.0,132,180,171
53 N River St,0.0,1,181,1
149 4th St,39000.0,133,182,172
2819 Kate Ave,0.0,1,183,1
PO Box 647,0.0,1,184,1
W253N6633 Aspen Ln,0.0,1,185,173
1468 Noell Blvd,119900.0,134,186,174
2256 Arlington Ter,510000.0,34,187,175
2945 Cassidy Pl,290000.0,135,188,176
1074 Bison Way,439000.0,136,189,177
15223 Silver Tree Cv,0.0,137,190,178
24007 W Walnut Cir,190000.0,138,191,179
2400 Nevin Ave,0.0,1,192,1
21619 Lemon Beebrush Ln,0.0,1,193,180
22713 42nd Pl S,0.0,1,194,181
260 W Van Fleet Dr,0.0,1,195,182
4633 W 191st St,635000.0,139,196,183
12103 Buckner Rdg,0.0,140,29,184
266 Iron Mountain Rd,0.0,1,197,185
11529 S Joalyce Dr,125000.0,141,198,186
4 Cape,790000.0,142,199,187
1036 W Monroe St,635000.0,143,23,188
11006 Shaw St,469000.0,144,200,189
19596 Jill Ct,552500.0,145,201,190
203 W 15th Ave,0.0,1,202,1
