description_id,propertyType,bathrooms,bedrooms,yearBuilt,squareFootage,lotSize
116,Single Family,3.0,4.0,1965,1714.0,6221.0
117,Single Family,2.0,3.0,1977,1916.0,11228.0
118,Single Family,1.0,2.0,0,1224.0,0.0
119,Single Family,1.0,3.0,1913,2404.0,68825.0
120,Single Family,0.0,0.0,0,0.0,5001.0
121,Condo,2.5,2.0,0,2020.0,0.0
122,Single Family,2.0,1.0,0,378.0,0.0
123,Single Family,2.5,4.0,1975,2121.0,43560.0
124,Single Family,3.0,0.0,1925,2323.0,11500.0
125,Single Family,3.0,4.0,2000,2333.0,9453.0
126,Single Family,5.0,0.0,1983,4101.0,19602.0
127,Single Family,1.0,4.0,1900,1462.0,3600.0
128,Land,0.0,0.0,0,0.0,0.0
129,Manufactured,2.0,4.0,2012,1500.0,63162.0
130,Single Family,2.0,3.0,2006,1662.0,7501.0
131,Single Family,2.0,2.0,2004,1092.0,2178.0
132,Single Family,1.0,3.0,1964,1052.0,22000.0
133,Single Family,1.0,2.0,1952,919.0,7200.0
134,Single Family,1.0,3.0,1983,1296.0,6300.0
135,Single Family,2.0,3.0,1979,1704.0,25003.0
136,Condo,0.0,0.0,1969,725.0,0.0
137,Single Family,2.5,5.0,1984,1848.0,8438.0
138,Single Family,3.0,0.0,2018,1656.0,3489156.0
139,Single Family,1.5,4.0,1900,1678.0,6000.0
140,Apartment,1.0,1.0,0,650.0,0.0
141,Single Family,2.0,3.0,2016,1209.0,0.0
142,Single Family,1.0,2.0,1945,1074.0,7000.0
143,Single Family,1.0,3.0,2000,1188.0,4127.0
144,Condo,2.0,3.0,1972,1132.0,104.0
145,Single Family,1.0,2.0,1938,726.0,4400.0
146,Condo,2.5,4.0,1978,1640.0,1464.0
147,Single Family,2.0,0.0,1966,2142.0,14070.0
148,Condo,2.5,2.0,1994,1332.0,0.0
149,Single Family,2.0,3.0,1930,1681.0,5799.0
150,Single Family,2.5,3.0,2014,2063.0,5663.0
151,Single Family,1.5,3.0,1961,1606.0,16000.0
152,Single Family,2.0,3.0,1987,1748.0,20038.0
153,Single Family,1.0,3.0,0,1573.0,0.0
154,Single Family,3.0,4.0,1942,2525.0,9700.0
155,Land,0.0,0.0,1980,1160.0,5018.0
156,Single Family,2.0,4.0,1965,2258.0,12632.0
157,Single Family,1.0,3.0,1960,1152.0,2225.0
158,Single Family,2.0,3.0,1962,1133.0,11248.0
159,Single Family,2.0,4.0,1958,1638.0,7490.0
160,Single Family,3.0,0.0,1968,3952.0,46609.0
161,Single Family,2.0,0.0,2017,2347.0,44431.0
162,Single Family,2.0,0.0,1989,1116.0,2178.0
163,Multi-Family,3.0,8.0,1897,2232.0,3025.0
164,Single Family,3.0,3.0,2015,2574.0,0.0
165,Single Family,1.0,3.0,1950,924.0,9148.0
166,Single Family,1.5,3.0,1979,1456.0,15246.0
167,Land,0.0,0.0,0,0.0,11326.0
168,Single Family,0.0,0.0,0,0.0,11326.0
169,Single Family,2.5,4.0,1992,2682.0,13468.0
170,Single Family,1.0,2.0,1949,892.0,6752.0
171,Single Family,1.0,2.0,1946,1093.0,5000.0
172,Single Family,3.0,3.0,1983,1883.0,50094.0
173,Land,3.0,4.0,2023,2643.0,2178000.0
174,Single Family,2.0,4.0,0,1680.0,0.0
175,Single Family,1.0,2.0,1910,961.0,8712.0
176,Single Family,3.0,5.0,1994,2417.0,18257.0
177,Condo,2.0,3.0,2006,2143.0,3006.0
178,Single Family,2.5,3.0,1961,1125.0,9975.0
179,Single Family,2.0,3.0,0,2209.0,7841.0
180,Single Family,1.0,3.0,1928,1320.0,7405.0
181,Single Family,2.0,4.0,1898,1481.0,5227.0
182,Multi-Family,3.0,6.0,1924,2086.0,7181.0
183,Single Family,2.5,4.0,1951,2332.0,8520.0
